Section Title	Question Text	Question Type	Required	Weight	Options
Zero Tolerance	No expired food products in the café, and all food products are marked with clear date tags (MRD).	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Zero Tolerance	The product shall comply with the secondary shelf life for critical products like chicken, paneer, sauces, chilled, frozen, and composite products.	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Zero Tolerance	All food products should be stored according to the appropriate storage conditions (Frozen, Chilled, and Ambient).	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Zero Tolerance	RO/Mineral water TDS must be between 50 to 150 ±10 ppm that is being used for processing inside the café. If the TDS is not within the acceptable range, the water must not be used for processing.	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Zero Tolerance	Temperature sensitive food items shall not be transferred to the other store in the uncontrolled medium.	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Zero Tolerance	No live pest activity, including but not limited to rodents, rats, cockroaches, and spiders, was seen inside the café.	COMPLIANT_NONCOMPLIANT	Yes	4	Compliant | Non-Compliant
Store	No junk material, wastage, unused & dump materials found in or around the store.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	The action plans for previous audit non-conformities (NCs) were shared on time in approved CAPA format, and all audit gaps have been closed.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Dishwasher and sink area checked for cleanliness, odor, leakage, etc.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Glass doors, cupboards, shelves and area behind equipment are clean and undamaged.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Area below shelves and machinery is clean and free of dust or waste.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Customer tables and chairs are in good condition and free of stains or damage.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Customer area organized and clean without dust/stains.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Food & packaging material not stored on the floor.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Food-contact materials and containers are clean, non-toxic, and corrosion-free.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Segregated materials (knives, cutting boards) are color-coded as veg/non-veg and clean.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Glasses clean and arranged upside down in clean racks.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Equipment cleaned per SOP at close of business.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Chiller/freezer temperatures maintained as per standards (Chiller 1–5°C, Freezer –18°C).	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Merrychef inner body checked for food particles, rust, and filter cleanliness.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Microwaves, grillers, coffee makers, and food warmers are operational and clean.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Coffee machine and grinder are operational, clean, and in good condition.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Shakers and funnels are clean and without food accumulation.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
Store	Portafilter is clean and in good condition.	COMPLIANCE_SCALE	Yes	2	Compliant | Partially Compliant | Not Compliant | NA
